dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss
covid_deaths/D/short,Taichu-TimeSeries-Agent,281204.8753823859,281204.8753823859,101.92349016713476,32.04076870841166,0.08645059428307428,0.3591987962754561,558.4323667266143,530.2875402858207,0.19952326770848947,0.03834920919212966,0.0308756578751826
electricity/15T/long,Taichu-TimeSeries-Agent,315472.4006538659,315472.4006538659,56.27229535493128,0.8478456565243907,0.12536609402491317,0.12859370225020997,6.984779463128889,561.669298300936,0.8861021531459503,0.08877644234304123,0.07113306442082795
electricity/15T/medium,Taichu-TimeSeries-Agent,261259.34548126947,261259.34548126947,51.5010997007062,0.8023184794393483,0.12018815437121311,0.126665130789076,7.050966087481386,511.13534947337524,0.8807376775953265,0.08874158085669256,0.07176402603794957
electricity/15T/short,Taichu-TimeSeries-Agent,121833.41175932816,121833.41175932816,47.69921833363953,0.9202299707875706,0.15443321211191277,0.15594110404943765,10.021195123548871,349.04643209654523,0.6880393196591459,0.09402456152731217,0.07809822178636124
electricity/D/short,Taichu-TimeSeries-Agent,1248200095.69274,1248200095.69274,4131.772259615398,1.3475819448055983,0.23754547446613583,0.09019204977099349,10.613039028456406,35329.87539877179,0.580587183651119,0.06789873988011061,0.05366782434234768
electricity/H/long,Taichu-TimeSeries-Agent,7953639.309418602,7953639.309418602,261.7396457881674,1.130749918510386,0.2839876128634013,0.13533913908063785,9.374864865778688,2820.2197271522305,1.1122938262419548,0.10323003888314407,0.08150698047498071
electricity/H/medium,Taichu-TimeSeries-Agent,5567950.076686732,5567950.076686732,233.73619582989292,1.0272930483760272,0.22900157720679198,0.1250427927662311,8.509063242000838,2359.650414083987,0.9210493171826423,0.09123493983898612,0.07229836003833272
electricity/H/short,Taichu-TimeSeries-Agent,1732101.3975338133,1732101.3975338133,166.1905660572331,0.8998115914673156,0.1643420243085875,0.12159743229662745,10.044536381402532,1316.0932328424963,0.6212899932245454,0.07845381549198992,0.06423516515001042
electricity/W/short,Taichu-TimeSeries-Agent,36947542104.6744,36947542104.6744,26240.084765676052,1.4438460988941793,0.17035674056907782,0.09420501436090868,10.715417898470806,192217.43444514705,0.4385767534426602,0.05987121417893299,0.046416605999289255
ett1/15T/long,Taichu-TimeSeries-Agent,8.2646209790955,8.2646209790955,1.518652763308144,0.975223227371517,0.7561318186610814,0.3769599565825464,6.862292455961507,2.8748253823659446,0.5479445603413559,0.28945671824325814,0.22493459831980514
ett1/15T/medium,Taichu-TimeSeries-Agent,8.938617172022198,8.938617172022198,1.5515860374721269,0.9726356266109732,0.7285241793131548,0.3791481974927132,6.552833762010598,2.989752025172355,0.5698496920931286,0.2957338328614454,0.22567622151803757
ett1/15T/short,Taichu-TimeSeries-Agent,4.9090783647475895,4.9090783647475895,1.0510925582012323,0.6681293771175297,0.4722992693713794,0.22951778922059127,4.315645468404637,2.215644006772656,0.4188489438089434,0.19870024539244485,0.1536748442431416
ett1/D/short,Taichu-TimeSeries-Agent,40846.13341525852,40846.13341525852,137.72712352256292,1.708327342505573,1.1819912434504174,0.489700974406573,10.627260335631473,202.10426372360016,0.5308335525369534,0.3617448583873723,0.27573169880469606
ett1/H/long,Taichu-TimeSeries-Agent,156.7013142608603,156.7013142608603,7.459353988844037,1.4125000770500382,2993930873804.8315,0.48863210601472284,8.463625983654204,12.518039553414916,0.5994618020216806,0.3572123066866495,0.2723051191855137
ett1/H/medium,Taichu-TimeSeries-Agent,138.279923791062,138.279923791062,6.80445366242323,1.2315162362389531,2895383320415.8335,0.4400625002202403,7.99271277620832,11.759248436488702,0.5632401249077096,0.3259172005295582,0.24978841416752648
ett1/H/short,Taichu-TimeSeries-Agent,92.31375085645888,92.31375085645888,4.730335947302429,0.7890519634905933,0.44653196141224266,0.24985535505367037,5.521930183408769,9.608004520006164,0.44844487892325874,0.22078413126652183,0.17065964808336026
ett1/W/short,Taichu-TimeSeries-Agent,1514078.51734823,1514078.51734823,972.0476874072084,1.6857702837799509,0.6776261311528948,0.6128925759710011,8.586078378303393,1230.4789788323203,0.4896369544407189,0.38680097540948577,0.2865624837677046
ett2/15T/long,Taichu-TimeSeries-Agent,11.091228021448678,11.091228021448678,2.109870761503566,0.8784575686445225,0.13318406352861528,0.16233583338523738,7.320180645525885,3.3303495344255802,0.1774803550593805,0.11243883202357181,0.09056119675351386
ett2/15T/medium,Taichu-TimeSeries-Agent,11.063823491021044,11.063823491021044,2.0698073125198406,0.8569288076759953,0.1282363004286342,0.156677527512576,6.88530472435601,3.3262326273159313,0.17726095762736502,0.1103037783071272,0.08787477122081315
ett2/15T/short,Taichu-TimeSeries-Agent,7.66040686663037,7.66040686663037,1.7151118129937435,0.7389265938971581,0.10482599493725799,0.12473721185901065,4.882652443736522,2.7677440030881413,0.1313946539537894,0.08142245919742767,0.06404226912142932
ett2/D/short,Taichu-TimeSeries-Agent,104291.58821990946,104291.58821990946,192.6361638604942,1.2689568233097124,0.4113561689853033,0.13212936843188855,12.57280214607716,322.9420818349777,0.1848282739735812,0.11025075911110568,0.09153502850313108
ett2/H/long,Taichu-TimeSeries-Agent,215.12332190178094,215.12332190178094,8.937097230611933,0.9902329388250565,0.17418313506989358,0.1669851230695782,7.339094831370966,14.667082937713992,0.20085441221126435,0.12238666807520318,0.09866610572661955
ett2/H/medium,Taichu-TimeSeries-Agent,234.61763853562582,234.61763853562582,9.424167279012883,1.0055939006394703,0.16786468314350847,0.16214221817941665,7.043418237793947,15.317233383859692,0.20640956999170232,0.12699671453989114,0.10074827906816965
ett2/H/short,Taichu-TimeSeries-Agent,105.48068550755869,105.48068550755869,6.3379812764669925,0.725619930753121,0.11631854056826318,0.1076886954794875,4.997152659964415,10.270379034269315,0.13025698249153647,0.08038323740591935,0.0633846509238084
ett2/W/short,Taichu-TimeSeries-Agent,3178653.14423259,3178653.14423259,1222.6672424941842,0.792501044872744,0.12446042991498005,0.13180392999843107,8.956851955871661,1782.8777704129327,0.14955611175553646,0.10256303701399686,0.08586764231864791
hierarchical_sales/D/short,Taichu-TimeSeries-Agent,28.623263712838362,28.623263712838362,2.2907000665829127,0.7400039659052369,0.6394020654200362,1.0644640533079515,6.7796835023499336,5.350071374555517,1.6413426492472696,0.7027614124547003,0.5691874840696133
hierarchical_sales/W/short,Taichu-TimeSeries-Agent,452.617389637776,452.617389637776,8.818441772407974,0.7133019071451773,0.5240272468959543,0.4536114619114504,6.621799217023599,21.27480645359144,0.9767367705662369,0.40485897519195235,0.34195173001034074
hospital/M/short,Taichu-TimeSeries-Agent,3214.6674259230213,3214.6674259230213,18.19826895897518,0.7676773947301581,0.1946867235011401,0.17563029936560223,5.092878853474153,56.6980372316628,0.2058270412385641,0.06606394221699258,0.052155820320243323
jena_weather/10T/long,Taichu-TimeSeries-Agent,1364.7971708805046,1364.7971708805046,9.508956568210293,0.636876742701287,0.8274239006778061,0.6280906960250418,5.402836504849619,36.94316135471496,0.2260615390275921,0.05818693575561584,0.04697215082920536
jena_weather/10T/medium,Taichu-TimeSeries-Agent,1431.5191072437678,1431.5191072437678,9.230949016221176,0.5762456372550676,0.7666995471274961,0.637630556212691,5.296729067222393,37.835421330332345,0.232195333895332,0.056650176306453075,0.046042634153813655
jena_weather/10T/short,Taichu-TimeSeries-Agent,768.1634734160403,768.1634734160403,5.260615302591662,0.2594218313885559,0.34875471703634187,0.5347368623872549,2.222704006627289,27.71576218356696,0.17214961991757607,0.0326750142707852,0.02698580500985857
jena_weather/D/short,Taichu-TimeSeries-Agent,383.15745012946667,383.15745012946667,9.514363133993507,0.9975094327039667,0.6098180541579475,0.4461132012705676,6.48761873291816,19.574408040333346,0.11786992928929114,0.05729201657213207,0.04533146684845636
jena_weather/H/long,Taichu-TimeSeries-Agent,1229.5667057829603,1229.5667057829603,10.857444922691387,0.8376232966785054,2.3129956239878053,0.6401617403589277,5.926557897879218,35.06517796593881,0.21113122096579837,0.06537384767655968,0.051866644749944193
jena_weather/H/medium,Taichu-TimeSeries-Agent,1224.399616714496,1224.399616714496,9.938366711916535,0.7364102049550846,2.3218585676817374,0.6600205443142119,5.811036346453865,34.991422044759716,0.21411871732886859,0.06081462851030884,0.04927137307615346
jena_weather/H/short,Taichu-TimeSeries-Agent,1099.8929052102164,1099.8929052102164,8.417532002442208,0.517809617687111,1.574996802700836,0.6025991907511126,4.271582941387591,33.164633349552,0.2032970673995639,0.05159892928114027,0.04155994468746391
kdd_cup_2018/D/short,Taichu-TimeSeries-Agent,2889.074878697214,2889.074878697214,21.109285402555987,1.1920778471763327,0.5784584945194947,0.46296689927275214,9.378910746217894,53.75011515054841,1.2040596158820493,0.47287039296857736,0.37425872960595163
kdd_cup_2018/H/long,Taichu-TimeSeries-Agent,3158.5410327108493,3158.5410327108493,17.46339666569752,0.7491716556310584,0.7616392418510822,0.44516319089791156,7.816510968274691,56.20089886034608,1.3187001891605687,0.40976185351885946,0.3387593192824047
kdd_cup_2018/H/medium,Taichu-TimeSeries-Agent,4216.50885321121,4216.50885321121,18.77916937721293,0.7786323963653349,0.7473287051286399,0.4276028364407919,7.642267696702851,64.93465063593713,1.3591998399411818,0.39308202572525913,0.3245787484186445
kdd_cup_2018/H/short,Taichu-TimeSeries-Agent,3794.518190353363,3794.518190353363,17.222404634202213,0.7065429866426988,0.6390100950059708,0.39206764805709954,6.033916889754035,61.59966063505028,1.2893924629752767,0.36049612125647523,0.2923141626000904
loop_seattle/5T/long,Taichu-TimeSeries-Agent,78.28308851782775,78.28308851782775,5.138928328698052,0.8111102428142342,0.1574735998052535,0.11729568378317763,5.887874812272142,8.847773082410496,0.15643043756722522,0.09085730382066201,0.07168895192365995
loop_seattle/5T/medium,Taichu-TimeSeries-Agent,64.50945251626614,64.50945251626614,4.692704770544793,0.745702863505919,0.14625419804710504,0.1079702169507077,5.2350012753523165,8.031777668503166,0.14290182493525444,0.08349285840206784,0.06562732112581823
loop_seattle/5T/short,Taichu-TimeSeries-Agent,39.122094644306955,39.122094644306955,3.3968743528237724,0.5392226081420364,0.08813017290194816,0.07243093148190348,3.8515651159772313,6.254765754551241,0.10725542700896253,0.058248897481540725,0.04565638979336467
