,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
30,ett1/15T/long,PatchTST-ABR,9.52910900297619,9.52910900297619,1.76629634796627,1.2107939458814665,0.7293333521789698,0.4449206349206349,48.43175784528021,3.0869254935900527,0.5883710512530925,0.3366578303348659,0.3366578311949912,Energy,7
31,ett1/15T/medium,PatchTST-ABR,10.490901537698411,10.490901537698411,1.795970982142857,1.178284101928714,0.6821572620728046,0.4510369001116071,47.13136407462779,3.238966121727489,0.6173500723465978,0.3423138044947934,0.3423138299564616,Energy,7
32,ett1/15T/short,PatchTST-ABR,5.4026105608258925,5.4026105608258925,1.2640638078962054,0.8649512150459946,0.5254461709909172,0.2773385729108538,34.598048576638924,2.324351643109513,0.4393991637645376,0.2389606502876469,0.2389606521438088,Energy,7
33,ett1/D/short,PatchTST-ABR,49466.7365079365,49466.7365079365,142.86092509920636,1.6725769911829635,1.375810314360119,0.514170667860243,66.9030796868132,222.41118791089735,0.5841703625024466,0.3752289585183643,0.3752289328733974,Energy,7
34,ett1/H/long,PatchTST-ABR,169.1243716931217,169.1243716931217,8.17471839864418,1.5281238638329306,5463997226362.675,0.5022327887318122,61.124954543283565,13.004782646900397,0.6227708745563505,0.3914695589002346,0.3914695686757737,Energy,7
35,ett1/H/medium,PatchTST-ABR,158.17440476190475,158.17440476190475,7.525984700520834,1.354203870076732,5376831175127.654,0.4695215134393601,54.16815476543752,12.57674062553191,0.6023960629044802,0.3604768268711403,0.3604768239274277,Energy,7
36,ett1/H/short,PatchTST-ABR,111.61826636904762,111.61826636904762,5.476676432291667,0.91981370177177,0.5196727571033296,0.2949545360746838,36.792548065426246,10.56495463166064,0.4931096556792355,0.2556188951063613,0.2556188764082245,Energy,7
37,ett1/W/short,PatchTST-ABR,1412830.5714285714,1412830.5714285714,909.5852399553572,1.7844202817260322,1.057941504887172,0.5192735535757882,71.37681119660728,1188.62549670978,0.4729824549557567,0.3619456767303803,0.3619456931026534,Energy,7
38,ett2/15T/long,PatchTST-ABR,12.298090277777778,12.298090277777778,2.3138099888392856,1.0027585523299554,0.1521941431993037,0.1839080519903274,40.11034209335143,3.506863310392605,0.1868870813431356,0.1233071144561823,0.1233071132042619,Energy,7
39,ett2/15T/medium,PatchTST-ABR,12.74671626984127,12.74671626984127,2.267189515128968,0.9637382389955058,0.1474412956415385,0.1752083139570932,38.549529552115416,3.570254370467358,0.1902653054574059,0.1208226251871722,0.1208226239429408,Energy,7
40,ett2/15T/short,PatchTST-ABR,8.181279645647322,8.181279645647322,1.856901332310268,0.8311617882675141,0.119278478679956,0.1423171361287435,33.24647152424549,2.8602936292708345,0.1357883139498943,0.0881537120893431,0.0881537137942882,Energy,7
41,ett2/D/short,PatchTST-ABR,120462.3492063492,120462.3492063492,224.45853174603172,1.6527265161888198,0.4926631382533482,0.1706440274677579,66.10906065357061,347.07686354228395,0.1986412237623427,0.1284635252689451,0.1284635158151189,Energy,7
42,ett2/H/long,PatchTST-ABR,269.8758597883598,269.8758597883598,10.905554522156084,1.236918069736727,0.2064964673277417,0.2139095568783068,49.476722779993615,16.42789882451069,0.2249674305569511,0.1493431756462785,0.1493431728188068,Energy,7
43,ett2/H/medium,PatchTST-ABR,303.69027157738094,303.69027157738094,11.465162295386904,1.2545633162609486,0.2038945390255295,0.206454849243164,50.18253262922119,17.42671143897726,0.2348361286228036,0.1545004252184261,0.1545004258260934,Energy,7
44,ett2/H/short,PatchTST-ABR,121.32359561011904,121.32359561011904,7.120468284970238,0.8367333539870572,0.1383926089109545,0.1251981553577241,33.469334171156795,11.014699070338647,0.1396970315474553,0.090307349868212,0.0903073486134655,Energy,7
45,ett2/W/short,PatchTST-ABR,7106581.714285715,7106581.714285715,1825.513671875,1.3961090355579877,0.3963311740330287,0.3114596094403948,55.844361177052974,2665.817269485235,0.2236211575687803,0.1531325815670589,0.153132584904145,Energy,7
46,hierarchical_sales/D/short,PatchTST-ABR,29.73189964215585,29.73189964215585,2.616791525908175,0.8611038774909994,0.7857829375668014,1.0080258227912489,34.444155111842136,5.452696547778525,1.6728269158868536,0.8028026609306237,0.8028026666921708,Sales,1
47,hierarchical_sales/W/short,PatchTST-ABR,842.923530190678,842.923530190678,12.664334313344147,0.8690864412303713,0.9563871025228616,0.5697435201224634,34.76345764906252,29.033145371982656,1.3329259051954054,0.5814257829122946,0.5814257901694702,Sales,1
48,hospital/M/short,PatchTST-ABR,6842.165091264667,6842.165091264667,24.839641731855718,0.9172793023559112,0.2356015287861001,0.200961003972882,36.691172098600525,82.71738082933156,0.3002833005583662,0.0901736676034117,0.0901736674651776,Healthcare,1
49,jena_weather/10T/long,PatchTST-ABR,1502.7089947089946,1502.7089947089946,11.240528893849206,0.7218615580091953,0.8905108686226701,0.6613033234126984,28.87446232147933,38.76479065736064,0.2372084010879307,0.0687827237314481,0.0687827346931558,Nature,21
50,jena_weather/10T/medium,PatchTST-ABR,1576.841414141414,1576.841414141414,11.952059659090908,0.6674927692552134,1.1666729235492377,0.6613022665268758,26.69971077056451,39.70946252647364,0.243696265702516,0.0733495776839666,0.073349574881786,Nature,21
51,jena_weather/10T/short,PatchTST-ABR,841.9240079365079,841.9240079365079,7.784354073660714,0.4186617110631628,0.5607921757912453,0.5857399592323909,16.74646843628526,29.01592679782102,0.1802252855779745,0.0483505988190915,0.0483505991379457,Nature,21
52,jena_weather/D/short,PatchTST-ABR,913.7037698412698,913.7037698412698,14.559768725198412,1.4853352993588833,1.596442569532572,0.5311134943886409,59.41341197353574,30.22753330725598,0.1820191551220611,0.0876736045642555,0.0876735985908837,Nature,21
53,jena_weather/H/long,PatchTST-ABR,1790.1977513227514,1790.1977513227514,17.03880828373016,1.2315453013041058,4.985250365128929,0.7017579416749339,49.26181205422123,42.31072856052885,0.2547574884392112,0.1025925138148003,0.1025925133597303,Nature,21
54,jena_weather/H/medium,PatchTST-ABR,1226.1832341269842,1226.1832341269842,11.887286086309524,0.8370036772380975,4.123817960212522,0.676038566468254,33.48014708655925,35.01689926488329,0.2142746006975428,0.0727404062893665,0.0727404056650739,Nature,21
55,jena_weather/H/short,PatchTST-ABR,1162.2593984962407,1162.2593984962407,10.73863124608396,0.6145262897714445,3.2790708648588502,0.6250429336688075,24.581051578539164,34.09192570824125,0.2089813265842486,0.06582712348699,0.0658271225294476,Nature,21
56,kdd_cup_2018/D/short,PatchTST-ABR,2830.325333300086,2830.325333300086,22.192312357661745,1.3394607195757986,0.5882386824529661,0.5216399316529627,53.57842880214631,53.20080199865493,1.1917544495842332,0.4971313590249113,0.4971313438498569,Nature,1
57,kdd_cup_2018/H/long,PatchTST-ABR,4134.537682138023,4134.537682138023,24.656485087678185,1.0603922741878429,1.0170257773127325,0.6443805239425082,42.41569096415282,64.30037077760923,1.5087465877848163,0.5785407967780436,0.5785408108546123,Nature,1
58,kdd_cup_2018/H/medium,PatchTST-ABR,5270.470952376773,5270.470952376773,26.90097559490638,1.1273260971902,1.1375044504338248,0.5957894199525655,45.09304387882574,72.59800928659665,1.5196078285737278,0.5630861439865649,0.5630861476490918,Nature,1
59,kdd_cup_2018/H/short,PatchTST-ABR,4845.683227298557,4845.683227298557,24.500097367857396,1.00190230111046,1.0097429485310414,0.533233864470096,40.076092045305394,69.61094186475684,1.4570830808588748,0.512831408364751,0.5128314087484355,Nature,1
60,loop_seattle/5T/long,PatchTST-ABR,114.22081489723082,114.22081489723082,6.8485396779325765,1.0908894393415256,0.2417269423302946,0.1500575296764813,43.63557757317884,10.687413854494023,0.1889556734190323,0.1210835890140588,0.1210835895659821,Transport,1
61,loop_seattle/5T/medium,PatchTST-ABR,114.23346954818112,114.23346954818112,6.982342026654412,1.112913382195155,0.2354688152710842,0.1530768203735351,44.5165352883688,10.688005873322728,0.1901615855197767,0.1242302115256221,0.1242302111597636,Transport,1
62,loop_seattle/5T/short,PatchTST-ABR,46.00665087941015,46.00665087941015,4.07580699940338,0.6449591060094112,0.1121507339802319,0.0857354558781327,25.798364238425076,6.782820274738978,0.11631039297696,0.0698910916988869,0.0698910915172658,Transport,1
63,loop_seattle/D/short,PatchTST-ABR,20.667233455882357,20.667233455882357,3.1739006491268382,0.9547313698975908,0.0587932456757631,0.0585002351963606,38.18925479904093,4.546122903737024,0.0812452905864115,0.0567218454034181,0.0567218461702847,Transport,1
